group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-63667.7619,0.0,-73542.1542,-53793.3696,True
sp0.50,sp0.70,-84335.6619,0.0,-93106.5712,-75564.7526,True
sp0.50,sp0.80,-88676.2714,0.0,-97285.2983,-80067.2445,True
sp0.50,sp0.90,-88039.119,0.0,-96723.8347,-79354.4033,True
sp0.50,sp1.00,-87890.0524,0.0,-96496.754,-79283.3507,True
sp0.60,sp0.70,-20667.9,0.0,-26219.0099,-15116.7901,True
sp0.60,sp0.80,-25008.5095,0.0,-30300.1364,-19716.8826,True
sp0.60,sp0.90,-24371.3571,0.0,-29785.2521,-18957.4622,True
sp0.60,sp1.00,-24222.2905,0.0,-29510.1336,-18934.4474,True
sp0.70,sp0.80,-4340.6095,0.0026,-7065.7779,-1615.4412,True
sp0.70,sp0.90,-3703.4571,0.0154,-6659.0426,-747.8717,True
sp0.70,sp1.00,-3554.3905,0.0117,-6272.2043,-836.5766,True
sp0.80,sp0.90,637.1524,0.5996,-1796.3593,3070.664,False
sp0.80,sp1.00,786.219,0.4618,-1352.2397,2924.6778,False
sp0.90,sp1.00,149.0667,0.9018,-2276.2062,2574.3396,False
