group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-1009.6,0.0067,-1723.2316,-295.9684,True
sp0.50,sp0.70,-1105.6095,0.0018,-1774.2848,-436.9343,True
sp0.50,sp0.80,-1116.9619,0.0007,-1730.2996,-503.6242,True
sp0.50,sp0.90,-1822.4762,0.0,-2447.8175,-1197.1349,True
sp0.50,sp1.00,-1686.3857,0.0,-2395.7698,-977.0017,True
sp0.60,sp0.70,-96.0095,0.8003,-858.0153,665.9963,False
sp0.60,sp0.80,-107.3619,0.7628,-821.3013,606.5775,False
sp0.60,sp0.90,-812.8762,0.0288,-1537.1538,-88.5986,True
sp0.60,sp1.00,-676.7857,0.0942,-1474.7531,121.1817,False
sp0.70,sp0.80,-11.3524,0.9728,-680.3561,657.6513,False
sp0.70,sp0.90,-716.8667,0.0393,-1396.8921,-36.8413,True
sp0.70,sp1.00,-580.7762,0.1294,-1338.8056,177.2532,False
sp0.80,sp0.90,-705.5143,0.0281,-1331.2068,-79.8218,True
sp0.80,sp1.00,-569.4238,0.1127,-1279.1175,140.2699,False
sp0.90,sp1.00,136.0905,0.7045,-584.0024,856.1833,False
