group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-5244.7619,0.3813,-17219.2426,6729.7187,False
sp0.50,sp0.70,-4796.4286,0.4243,-16806.3314,7213.4743,False
sp0.50,sp0.80,-4815.5714,0.3687,-15520.8202,5889.6774,False
sp0.50,sp0.90,-12235.1429,0.0595,-24983.9647,513.679,False
sp0.50,sp1.00,-6392.1905,0.3241,-19333.2221,6548.8411,False
sp0.60,sp0.70,448.3333,0.9404,-11598.4946,12495.1613,False
sp0.60,sp0.80,429.1905,0.9361,-10317.4671,11175.8481,False
sp0.60,sp0.90,-6990.381,0.2757,-19773.9938,5793.2319,False
sp0.60,sp1.00,-1147.4286,0.8591,-14122.7357,11827.8786,False
sp0.70,sp0.80,-19.1429,0.9972,-10805.2556,10766.9699,False
sp0.70,sp0.90,-7438.7143,0.2477,-20255.5133,5378.0847,False
sp0.70,sp1.00,-1595.7619,0.8055,-14603.7662,11412.2424,False
sp0.80,sp0.90,-7419.5714,0.2036,-19022.8004,4183.6575,False
sp0.80,sp1.00,-1576.619,0.7888,-13390.7107,10237.4726,False
sp0.90,sp1.00,5842.9524,0.3936,-7850.2163,19536.121,False
