group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-3826437.5571,0.2783,-10863380.5857,3210505.4715,False
sp0.50,sp0.70,-4316382.7619,0.211,-11178215.9744,2545450.4506,False
sp0.50,sp0.80,-4751639.3524,0.1631,-11509662.6691,2006383.9644,False
sp0.50,sp0.90,-4895442.5429,0.1503,-11642458.2883,1851573.2025,False
sp0.50,sp1.00,-2071536.4571,0.6396,-10943856.5803,6800783.666,False
sp0.60,sp0.70,-489945.2048,0.6773,-2852090.6882,1872200.2787,False
sp0.60,sp0.80,-925201.7952,0.3651,-2966244.5187,1115840.9283,False
sp0.60,sp0.90,-1069004.9857,0.2875,-3073299.8038,935289.8324,False
sp0.60,sp1.00,1754901.1,0.5642,-4345348.1259,7855150.3259,False
sp0.70,sp0.80,-435256.5905,0.5077,-1751327.7311,880814.5502,False
sp0.70,sp0.90,-579059.781,0.3579,-1837386.2752,679266.7132,False
sp0.70,sp1.00,2244846.3048,0.4462,-3652545.3615,8142237.9711,False
sp0.80,sp0.90,-143803.1905,0.4843,-555518.7235,267912.3425,False
sp0.80,sp1.00,2680102.8952,0.354,-3096172.0791,8456377.8696,False
sp0.90,sp1.00,2823906.0857,0.328,-2939486.5695,8587298.741,False
