group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-8818296090.0333,0.0,-10297627227.1311,-7338964952.9356,True
sp0.50,sp0.70,-8818296626.3824,0.0,-10297627763.4808,-7338965489.284,True
sp0.50,sp0.80,-8818298173.6048,0.0,-10297629310.7021,-7338967036.5074,True
sp0.50,sp0.90,-8818296652.1381,0.0,-10297627789.2369,-7338965515.0393,True
sp0.50,sp1.00,-8818297880.4619,0.0,-10297629017.5596,-7338966743.3642,True
sp0.60,sp0.70,-536.349,0.7305,-3661.6015,2588.9034,False
sp0.60,sp0.80,-2083.5714,0.1118,-4673.546,506.4031,False
sp0.60,sp0.90,-562.1048,0.7334,-3874.2755,2750.0659,False
sp0.60,sp1.00,-1790.4286,0.1981,-4555.2026,974.3455,False
sp0.70,sp0.80,-1547.2224,0.2942,-4488.9691,1394.5244,False
sp0.70,sp0.90,-25.7557,0.9885,-3619.6924,3568.1809,False
sp0.70,sp1.00,-1254.0795,0.4179,-4350.8329,1842.6738,False
sp0.80,sp0.90,1521.4667,0.3333,-1618.1425,4661.0759,False
sp0.80,sp1.00,293.1429,0.8178,-2262.3701,2848.6559,False
sp0.90,sp1.00,-1228.3238,0.4543,-4513.6173,2056.9697,False
