group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-66537901095.2381,0.0,-72396483134.4199,-60679319056.0563,True
sp0.50,sp0.70,-66747582361.9048,0.0,-72605106802.6354,-60890057921.1742,True
sp0.50,sp0.80,-66769613336.2857,0.0,-72627129538.8477,-60912097133.7238,True
sp0.50,sp0.90,-66763276853.8572,0.0,-72620802221.1483,-60905751486.566,True
sp0.50,sp1.00,-66776522382.381,0.0,-72634032839.4117,-60919011925.3502,True
sp0.60,sp0.70,-209681266.6667,0.0006,-322647212.5913,-96715320.742,True
sp0.60,sp0.80,-231712241.0476,0.0002,-344250210.0108,-119174272.0844,True
sp0.60,sp0.90,-225375758.619,0.0002,-338389738.4689,-112361778.7692,True
sp0.60,sp1.00,-238621287.1429,0.0001,-350859807.2998,-126382766.9859,True
sp0.70,sp0.80,-22030974.381,0.0104,-38579641.7448,-5482307.0171,True
sp0.70,sp0.90,-15694491.9524,0.1121,-35219439.4468,3830455.542,False
sp0.70,sp1.00,-28940020.4762,0.0002,-43311845.0015,-14568195.9508,True
sp0.80,sp0.90,6336482.4286,0.4523,-10536961.0362,23209925.8934,False
sp0.80,sp1.00,-6909046.0952,0.1907,-17398986.9859,3580894.7954,False
sp0.90,sp1.00,-13245528.5238,0.0769,-27990156.1226,1499099.075,False
