0,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,10
1,0,0,0,0,0,0,0,0,0,NaN
2,0,0,0,0,0,0,0,0,0,NaN
3,0,0,0,0,0,0,0,0,0,NaN
4,0,0,0,0,0,0,0,0,0,NaN
5,0,0,0,0,0,0,0,0,0,NaN
6,0,0,0,0,0,0,0,0,0,NaN
7,0,0,0,0,0,0,0,0,0,NaN
8,0,0,0,0,0,0,0,0,0,NaN
9,0,0,0,0,0,0,0,0,0,NaN
10,0,0,0,0,0,0,0,0,0,NaN
11,0,0,0,0,0,0,0,0,0,NaN
12,0,0,0,0,0,0,0,0,0,NaN
13,0,0,0,0,0,0,0,0,0,NaN
14,0,0,0,0,0,0,0,0,0,NaN
15,0,0,0,0,0,0,0,0,0,NaN
16,0,0,0,0,0,0,0,0,0,NaN
17,0,0,0,0,0,0,0,0,0,NaN
18,0,0,0,0,0,0,0,0,0,NaN
19,0,0,0,0,0,0,0,0,0,NaN
20,0,0,0,0,0,0,0,0,0,NaN
21,0,0,0,0,0,0,0,0,0,NaN
22,0,0,0,0,0,0,0,0,0,NaN
23,0,0,0,0,0,0,0,0,0,NaN
24,0,0,0,0,0,0,0,0,0,NaN
25,0,0,0,0,0,0,0,0,0,NaN
26,0,0,0,0,0,0,0,0,0,NaN
27,0,0,0,0,0,0,0,0,0,NaN
28,0,0,0,0,0,0,0,0,0,NaN
29,0,0,0,0,0,0,0,0,0,NaN
30,0,0,0,0,0,0,0,0,0,NaN
31,0,0,0,0,0,0,0,0,0,NaN
32,0,0,0,0,0,0,0,0,0,NaN
33,0,0,0,0,0,0,0,0,0,NaN
34,0,0,0,0,0,0,0,0,0,NaN
35,0,0,0,0,0,0,0,0,0,NaN
36,0,0,0,0,0,0,0,0,0,NaN
37,0,0,0,0,0,0,0,0,0,NaN
38,0,0,0,0,0,0,0,0,0,NaN
39,0,0,0,0,0,0,0,0,0,NaN
40,0,0,0,0,0,0,0,0,0,NaN
41,0,0,0,0,0,0,0,0,0,NaN
42,0,0,0,0,0,0,0,0,0,NaN
43,0,0,0,0,0,0,0,0,0,NaN
44,0,0,0,0,0,0,0,0,0,NaN
45,0,0,0,0,0,0,0,0,0,NaN
46,0,0,0,0,0,0,0,0,0,NaN
47,0,0,0,0,0,0,0,0,0,NaN
48,0,0,0,0,0,0,0,0,0,NaN
49,0,0,0,0,0,0,0,0,0,NaN
50,0,0,0,0,0,0,0,0,0,NaN
51,0,0,0,0,0,0,0,0,0,NaN
52,0,0,0,0,0,0,0,0,0,NaN
53,0,0,0,0,0,0,0,0,0,NaN
54,0,0,0,0,0,0,0,0,0,NaN
55,0,0,0,0,0,0,0,0,0,NaN
56,0,0,0,0,0,0,0,0,0,NaN
57,0,0,0,0,0,0,0,0,0,NaN
58,0,0,0,0,0,0,0,0,0,NaN
59,0,0,0,0,0,0,0,0,0,NaN
60,0,0,0,0,0,0,0,0,0,NaN
61,0,0,0,0,0,0,0,0,0,NaN
62,0,0,0,0,0,0,0,0,0,NaN
63,0,0,0,0,0,0,0,0,0,NaN
64,0,0,0,0,0,0,0,0,0,NaN
65,0,0,0,0,0,0,0,0,0,NaN
66,0,0,0,0,0,0,0,0,0,NaN
67,0,0,0,0,0,0,0,0,0,NaN
68,0,0,0,0,0,0,0,0,0,NaN
69,0,0,0,0,0,0,0,0,0,NaN
70,0,0,0,0,0,0,0,0,0,NaN
71,0,0,0,0,0,0,0,0,0,NaN
72,0,0,0,0,0,0,0,0,0,NaN
73,0,0,0,0,0,0,0,0,0,NaN
74,0,0,0,0,0,0,0,0,0,NaN
75,0,0,0,0,0,0,0,0,0,NaN
76,0,0,0,0,0,0,0,0,0,NaN
77,0,0,0,0,0,0,0,0,0,NaN
78,0,0,0,0,0,0,0,0,0,NaN
79,0,0,0,0,0,0,0,0,0,NaN
80,0,0,0,0,0,0,0,0,0,NaN
81,0,0,0,0,0,0,0,0,0,NaN
82,0,0,0,0,0,0,0,0,0,NaN
83,0,0,0,0,0,0,0,0,0,NaN
84,0,0,0,0,0,0,0,0,0,NaN
85,0,0,0,0,0,0,0,0,0,NaN
86,0,0,0,0,0,0,0,0,0,NaN
87,0,0,0,0,0,0,0,0,0,NaN
88,0,0,0,0,0,0,0,0,0,NaN
89,0,0,0,0,0,0,0,0,0,NaN
90,0,0,0,0,0,0,0,0,0,NaN
91,0,0,0,0,0,0,0,0,0,NaN
92,0,0,0,0,0,0,0,0,0,NaN
93,0,0,0,0,0,0,0,0,0,NaN
94,0,0,0,0,0,0,0,0,0,NaN
95,0,0,0,0,0,0,0,0,0,NaN
96,0,0,0,0,0,0,0,0,0,NaN
97,0,0,0,0,0,0,0,0,0,NaN
98,0,0,0,0,0,0,0,0,0,NaN
99,0,0,0,0,0,0,0,0,0,NaN
100,0,0,0,0,0,0,0,0,0,NaN
101,0,0,0,0,0,0,0,0,0,NaN
102,0,0,0,0,0,0,0,0,0,NaN
103,0,0,0,0,0,0,0,0,0,NaN
104,0,0,0,0,0,0,0,0,0,NaN
105,0,0,0,0,0,0,0,0,0,NaN
106,0,0,0,0,0,0,0,0,0,NaN
107,0,0,0,0,0,0,0,0,0,NaN
108,0,0,0,0,0,0,0,0,0,NaN
109,0,0,0,0,0,0,0,0,0,NaN
110,0,0,0,0,0,0,0,0,0,NaN
111,0,0,0,0,0,0,0,0,0,NaN
112,0,0,0,0,0,0,0,0,0,NaN
113,0,0,0,0,0,0,0,0,0,NaN
114,0,0,0,0,0,0,0,0,0,NaN
115,0,0,0,0,0,0,0,0,0,NaN
116,0,0,0,0,0,0,0,0,0,NaN
117,0,0,0,0,0,0,0,0,0,NaN
118,0,0,0,0,0,0,0,0,0,NaN
119,0,0,0,0,0,0,0,0,0,NaN
120,0,0,0,0,0,0,0,0,0,NaN
121,0,0,0,0,0,0,0,0,0,NaN
122,0,0,0,0,0,0,0,0,0,NaN
123,0,0,0,0,0,0,0,0,0,NaN
124,0,0,0,0,0,0,0,0,0,NaN
125,0,0,0,0,0,0,0,0,0,NaN
126,0,0,0,0,0,0,0,0,0,NaN
127,0,0,0,0,0,0,0,0,0,NaN
128,0,0,0,0,0,0,0,0,0,NaN
129,0,0,0,0,0,0,0,0,0,NaN
130,0,0,0,0,0,0,0,0,0,NaN
131,0,0,0,0,0,0,0,0,0,NaN
132,0,0,0,0,0,0,0,0,0,NaN
133,0,0,0,0,0,0,0,0,0,NaN
134,0,0,0,0,0,0,0,0,0,NaN
135,0,0,0,0,0,0,0,0,0,NaN
136,0,0,0,0,0,0,0,0,0,NaN
137,0,0,0,0,0,0,0,0,0,NaN
138,0,0,0,0,0,0,0,0,0,NaN
139,0,0,0,0,0,0,0,0,0,NaN
140,0,0,0,0,0,0,0,0,0,NaN
141,0,0,0,0,0,0,0,0,0,NaN
142,0,0,0,0,0,0,0,0,0,NaN
143,0,0,0,0,0,0,0,0,0,NaN
144,0,0,0,0,0,0,0,0,0,NaN
145,0,0,0,0,0,0,0,0,0,NaN
146,0,0,0,0,0,0,0,0,0,NaN
147,0,0,0,0,0,0,0,0,0,NaN
148,0,0,0,0,0,0,0,0,0,NaN
149,0,0,0,0,0,0,0,0,0,NaN
150,0,0,0,0,0,0,0,0,0,3377.7
151,0,0,0,0,0,0,0,0,0,3377.7
152,0,0,0,0,0,0,0,0,0,3377.7
153,0,0,0,0,0,0,0,0,0,3377.7
154,0,0,0,0,0,0,0,0,0,3377.7
155,0,0,0,0,0,0,0,0,0,3377.7
156,0,0,0,0,0,0,0,0,0,3377.7
157,0,0,0,0,0,0,0,0,0,3377.7
158,0,0,0,0,0,0,0,0,0,3377.7
159,0,0,0,0,0,0,0,0,0,3377.7
160,0,0,0,0,0,0,0,0,0,3377.7
161,0,0,0,0,0,0,0,0,0,3377.7
162,0,0,0,0,0,0,0,0,0,3377.7
163,0,0,0,0,0,0,0,0,0,3377.7
164,0,0,0,0,0,0,0,0,0,3377.7
165,0,0,0,0,0,0,0,0,0,3377.7
166,0,0,0,0,0,0,0,0,0,3377.7
167,0,0,0,0,0,0,0,0,0,3377.7
168,0,0,0,0,0,0,0,0,0,3377.7
169,0,0,0,0,0,0,0,0,0,3377.7
170,0,0,0,0,0,0,0,0,0,3377.7
171,0,0,0,0,0,0,0,0,0,3377.7
172,0,0,0,0,0,0,0,0,0,3377.7
173,0,0,0,0,0,0,0,0,0,3377.7
174,0,0,0,0,0,0,0,0,0,3377.7
175,0,0,0,0,0,0,0,0,0,3377.7
176,0,0,0,0,0,0,0,0,0,3377.7
177,0,0,0,0,0,0,0,0,0,3377.7
178,0,0,0,0,0,0,0,0,0,3377.7
179,0,0,0,0,0,0,0,0,0,3377.7
180,0,0,0,0,0,0,0,0,0,3377.7
181,0,0,0,0,0,0,0,0,0,3377.7
182,0,0,0,0,0,0,0,0,0,3377.7
183,0,0,0,0,0,0,0,0,0,3377.7
184,0,0,0,0,0,0,0,0,0,3377.7
185,0,0,0,0,0,0,0,0,0,3377.7
186,0,0,0,0,0,0,0,0,0,3377.7
187,0,0,0,0,0,0,0,0,0,3377.7
188,0,0,0,0,0,0,0,0,0,3377.7
189,0,0,0,0,0,0,0,0,0,3377.7
190,0,0,0,0,0,0,0,0,0,3213.6
191,0,0,0,0,0,0,0,0,0,3213.6
192,0,0,0,0,0,0,0,0,0,3213.6
193,0,0,0,0,0,0,0,0,0,3213.6
194,0,0,0,0,0,0,0,0,0,3213.6
195,0,0,0,0,0,0,0,0,0,3213.6
196,0,0,0,0,0,0,0,0,0,3213.6
197,0,0,0,0,0,0,0,0,0,3213.6
198,0,0,0,0,0,0,0,0,0,3213.6
199,0,0,0,0,0,0,0,0,0,3213.6
200,0,0,0,0,0,0,0,0,0,3213.6
201,0,0,0,0,0,0,0,0,0,3213.6
202,0,0,0,0,0,0,0,0,0,3213.6
203,0,0,0,0,0,0,0,0,0,3213.6
204,0,0,0,0,0,0,0,0,0,3213.6
205,0,0,0,0,0,0,0,0,0,3213.6
206,0,0,0,0,0,0,0,0,0,3213.6
207,0,0,0,0,0,0,0,0,0,3213.6
208,0,0,0,0,0,0,0,0,0,3213.6
209,0,0,0,0,0,0,0,0,0,3213.6
210,0,0,0,0,0,0,0,0,0,3213.6
211,0,0,0,0,0,0,0,0,0,3213.6
212,0,0,0,0,0,0,0,0,0,3213.6
213,0,0,0,0,0,0,0,0,0,3213.6
214,0,0,0,0,0,0,0,0,0,3213.6
215,0,0,0,0,0,0,0,0,0,3213.6
216,0,0,0,0,0,0,0,0,0,3213.6
217,0,0,0,0,0,0,0,0,0,3213.6
218,0,0,0,0,0,0,0,0,0,3213.6
219,0,0,0,0,0,0,0,0,0,3213.6
220,0,0,0,0,0,0,0,0,0,3213.6
221,0,0,0,0,0,0,0,0,0,3213.6
222,0,0,0,0,0,0,0,0,0,3213.6
223,0,0,0,0,0,0,0,0,0,3213.6
224,0,0,0,0,0,0,0,0,0,3213.6
225,0,0,0,0,0,0,0,0,0,3213.6
226,0,0,0,0,0,0,0,0,0,3213.6
227,0,0,0,0,0,0,0,0,0,3213.6
228,0,0,0,0,0,0,0,0,0,3213.6
229,0,0,0,0,0,0,0,0,0,3213.6
230,0,0,0,0,0,0,0,0,0,3146.4
231,0,0,0,0,0,0,0,0,0,3146.4
232,0,0,0,0,0,0,0,0,0,3146.4
233,0,0,0,0,0,0,0,0,0,3146.4
234,0,0,0,0,0,0,0,0,0,3146.4
235,0,0,0,0,0,0,0,0,0,3146.4
236,0,0,0,0,0,0,0,0,0,3146.4
237,0,0,0,0,0,0,0,0,0,3146.4
238,0,0,0,0,0,0,0,0,0,3146.4
239,0,0,0,0,0,0,0,0,0,3146.4
